set_num,url,vector
1,/sports/mvball/2017-18/boxscores/20180112_1ei7.xml,"[-2.6, -4.8, -5.0, -4.4, -4.6, -4.4, -4.6, -3.6, -3.5, -2.0]"
2,/sports/mvball/2017-18/boxscores/20180112_1ei7.xml,"[-0.6, -0.8, 3.0, 5.2, 4.6, 2.8, 1.8, 0.5, -1.0, -2.5]"
3,/sports/mvball/2017-18/boxscores/20180112_1ei7.xml,"[-2.0, -2.0, -3.5, -4.5, -5.5, -5.5, -7.0, -8.0, -9.0, -9.5]"
1,/sports/mvball/2017-18/boxscores/20180113_d449.xml,"[-1.5, -3.0, -5.5, -8.0, -8.0, -9.0, -9.0, -12.0, -11.5, -10.0]"
2,/sports/mvball/2017-18/boxscores/20180113_d449.xml,"[-1.4, -3.2, -4.6, -6.4, -6.6, -6.8, -7.4, -6.5, -4.5, -3.0]"
3,/sports/mvball/2017-18/boxscores/20180113_d449.xml,"[1.0, 0.4, 1.8, 4.8, 4.2, 3.2, 1.4, 1.0, 1.5, 0.0]"
1,/sports/mvball/2017-18/boxscores/20180113_b60t.xml,"[-0.2, -1.6, -3.0, -4.0, -1.0, -1.5, -2.5, -4.5, -4.0, -6.0]"
2,/sports/mvball/2017-18/boxscores/20180113_b60t.xml,"[-1.8, -4.0, -3.8, -4.0, -1.5, -1.5, -3.0, -4.5, -4.0, -4.5]"
3,/sports/mvball/2017-18/boxscores/20180113_b60t.xml,"[-2.2, -2.0, -2.6, -2.8, -5.4, -6.4, -6.6, -5.6, -2.6, 0.4]"
4,/sports/mvball/2017-18/boxscores/20180113_b60t.xml,"[-0.2, 1.6, 3.8, 2.4, 3.4, 4.4, 5.5, 6.0, 5.0, 2.5]"
5,/sports/mvball/2017-18/boxscores/20180113_b60t.xml,"[-2.0, -2.0, -1.3333333333333333, -0.3333333333333333, -0.6666666666666666, -1.0, 0.6666666666666666, -0.3333333333333333, -0.6666666666666666, -1.0]"
1,/sports/mvball/2017-18/boxscores/20180120_5u3i.xml,"[0.6, 2.8, 1.4, 0.4, 1.8, 2.0, 2.6, 2.4, 0.0, -0.5]"
2,/sports/mvball/2017-18/boxscores/20180120_5u3i.xml,"[1.8, 4.4, 7.8, 8.0, 6.5, 5.5, 6.5, 6.5, 4.5, 6.5]"
3,/sports/mvball/2017-18/boxscores/20180120_5u3i.xml,"[-0.2, 1.6, 3.4, 2.0, 1.4, 1.2, 1.4, 0.8, -2.0, -1.5]"
4,/sports/mvball/2017-18/boxscores/20180120_5u3i.xml,"[-2.2, -1.6, 0.0, 2.0, 3.0, 2.5, 5.5, 7.0, 6.5, 6.5]"
5,/sports/mvball/2017-18/boxscores/20180120_5u3i.xml,"[-0.6666666666666666, 0.3333333333333333, -0.6666666666666666, -0.3333333333333333, -0.6666666666666666, 0.3333333333333333, 0.5, 0.5, -1.5, -3.5]"
1,/sports/mvball/2017-18/boxscores/20180120_yoh9.xml,"[1.5, 1.5, 3.5, 3.5, 6.5, 9.5, 12.0, 11.0, 11.0, 12.0]"
2,/sports/mvball/2017-18/boxscores/20180120_yoh9.xml,"[-0.5, 1.0, 0.5, 3.0, 4.5, 6.0, 8.0, 7.5, 9.333333333333334, 11.0]"
3,/sports/mvball/2017-18/boxscores/20180120_yoh9.xml,"[0.2, 1.6, 3.5, 3.5, 5.0, 5.0, 6.0, 7.0, 6.5, 7.0]"
1,/sports/mvball/2017-18/boxscores/20180124_j5nq.xml,"[2.2, 1.6, 0.6, 1.0, 0.0, -1.0, -3.0, -3.0, -4.5, -6.5]"
2,/sports/mvball/2017-18/boxscores/20180124_j5nq.xml,"[1.0, 0.8, 1.0, 0.8, -1.0, -0.8, 2.0, -0.5, -4.0, -3.5]"
3,/sports/mvball/2017-18/boxscores/20180124_j5nq.xml,"[1.4, 0.8, -0.6, 0.4, 2.6, 0.8, 0.2, 0.8, 1.0, 0.8]"
4,/sports/mvball/2017-18/boxscores/20180124_j5nq.xml,"[0.2, 1.2, 1.0, 2.0, 1.4, 3.6, 3.4, 3.0, 1.5, 2.5]"
5,/sports/mvball/2017-18/boxscores/20180124_j5nq.xml,"[0.0, 1.0, 3.3333333333333335, 3.0, 3.3333333333333335, 2.5, 2.5, 2.5, 4.5, 4.5]"
1,/sports/mvball/2017-18/boxscores/20180127_ewy8.xml,"[-1.0, -2.0, -1.8, -3.2, -3.4, -5.6, -5.8, -5.0, -3.0, -2.5]"
2,/sports/mvball/2017-18/boxscores/20180127_ewy8.xml,"[-0.2, -2.8, -2.6, -1.6, -2.6, -2.4, -1.0, -3.0, -1.5, -2.0]"
3,/sports/mvball/2017-18/boxscores/20180127_ewy8.xml,"[0.2, 0.8, -0.6, -0.8, 0.2, 0.4, 0.6, -1.0, 1.5, 3.0]"
4,/sports/mvball/2017-18/boxscores/20180127_ewy8.xml,"[0.2, 0.0, -0.2, 1.6, 3.0, 2.5, 3.0, 3.5, 4.5, 5.5]"
5,/sports/mvball/2017-18/boxscores/20180127_ewy8.xml,"[0.0, 1.0, 0.6666666666666666, 1.0, 3.5, 5.5, 4.5, 5.5, 6.5, 5.5]"
1,/sports/mvball/2017-18/boxscores/20180127_jush.xml,"[-1.0, -1.2, -1.8, -2.0, -2.2, -3.6, -5.4, -6.5, -6.0, -3.0]"
2,/sports/mvball/2017-18/boxscores/20180127_jush.xml,"[-0.6, 0.0, 1.8, 1.2, 2.6, 2.8, 3.0, 2.4, 1.5, 1.0]"
3,/sports/mvball/2017-18/boxscores/20180127_jush.xml,"[-1.8, -3.2, -3.4, -5.6, -4.5, -5.0, -4.0, -4.5, -6.0, -5.5]"
1,/sports/mvball/2017-18/boxscores/20180202_mtba.xml,"[1.0, 1.6, 0.2, 1.2, 0.2, -1.6, -2.5, -3.0, -3.5, -3.0]"
2,/sports/mvball/2017-18/boxscores/20180202_mtba.xml,"[0.2, 0.0, 0.2, 0.8, -0.6, 0.0, -0.6, -0.4, 0.0, -1.0]"
3,/sports/mvball/2017-18/boxscores/20180202_mtba.xml,"[-0.6, 2.6, 1.6, 2.2, 1.6, -0.2, -1.0, -0.5, -2.0, -2.0]"
1,/sports/mvball/2017-18/boxscores/20180202_0ap1.xml,"[-0.3333333333333333, -1.3333333333333333, -1.8888888888888888, -2.2222222222222223, 0.5555555555555556, 0.2222222222222222, 0.0, 0.25, 0.0, -0.25]"
2,/sports/mvball/2017-18/boxscores/20180202_0ap1.xml,"[-0.2, 1.2, 1.8, 1.6, 0.5, -0.5, -2.0, -2.5, -4.0, -5.5]"
3,/sports/mvball/2017-18/boxscores/20180202_0ap1.xml,"[-1.0, -2.0, 1.8, 4.4, 2.6, 1.6, -0.2, -1.6, -0.6, 0.8]"
4,/sports/mvball/2017-18/boxscores/20180202_0ap1.xml,"[-1.8, -1.2, -1.8, -2.4, -2.2, -2.0, -3.5, -2.0, -4.0, -4.5]"
1,/sports/mvball/2017-18/boxscores/20180210_29pk.xml,"[0.2, -2.4, -2.6, -1.6, 1.5, 2.5, 3.5, 3.25, 2.5, 4.0]"
2,/sports/mvball/2017-18/boxscores/20180210_29pk.xml,"[-0.6, 0.0, -1.0, 0.0, 2.5, 5.5, 7.0, 6.5, 6.5, 6.5]"
3,/sports/mvball/2017-18/boxscores/20180210_29pk.xml,"[0.6, 1.2, 2.6, 5.6, 5.8, 7.6, 5.8, 2.4, 1.5, 0.5]"
4,/sports/mvball/2017-18/boxscores/20180210_29pk.xml,"[1.0, 4.0, 6.2, 4.0, 4.2, 2.0, -0.2, 3.0, 1.5, 2.5]"
1,/sports/mvball/tournament/boxscores/20180210_29pk.xml,"[0.2, -2.4, -2.6, -1.6, 1.5, 2.5, 3.5, 3.25, 2.5, 4.0]"
2,/sports/mvball/tournament/boxscores/20180210_29pk.xml,"[-0.6, 0.0, -1.0, 0.0, 2.5, 5.5, 7.0, 6.5, 6.5, 6.5]"
3,/sports/mvball/tournament/boxscores/20180210_29pk.xml,"[0.6, 1.2, 2.6, 5.6, 5.8, 7.6, 5.8, 2.4, 1.5, 0.5]"
4,/sports/mvball/tournament/boxscores/20180210_29pk.xml,"[1.0, 4.0, 6.2, 4.0, 4.2, 2.0, -0.2, 3.0, 1.5, 2.5]"
1,/sports/mvball/2017-18/boxscores/20180210_joqy.xml,"[-0.5, 1.5, 2.5, 5.5, 6.0, 6.5, 9.0, 10.0, 9.5, 10.0]"
2,/sports/mvball/2017-18/boxscores/20180210_joqy.xml,"[1.4, 0.5, -1.0, 1.5, 5.5, 6.0, 7.5, 9.0, 8.5, 9.0]"
3,/sports/mvball/2017-18/boxscores/20180210_joqy.xml,"[0.2, 2.8, 2.5, 2.0, 3.0, 2.5, 3.5, 6.5, 8.5, 7.5]"
1,/sports/mvball/tournament/boxscores/20180210_joqy.xml,"[-0.5, 1.5, 2.5, 5.5, 6.0, 6.5, 9.0, 10.0, 9.5, 10.0]"
